DateTime,CO(GT),C6H6(GT),NOx(GT),NO2(GT)
2004-03-11 17:00:00,2.9,11.2,243.0,135.0
2004-03-11 18:00:00,4.8,20.8,281.0,151.0
2004-03-11 19:00:00,5.6,27.4,383.0,172.0
2004-03-11 20:00:00,5.6,24.0,351.0,165.0
2004-03-11 21:00:00,3.9,12.8,240.0,136.0
2004-03-11 22:00:00,1.5,4.7,94.0,85.0
2004-03-11 23:00:00,1.0,2.6,47.0,53.0
2004-03-12 00:00:00,1.7,5.9,122.0,97.0
2004-03-12 01:00:00,1.9,6.4,133.0,110.0
2004-03-12 02:00:00,1.4,4.1,82.0,91.0
2004-03-12 03:00:00,0.8,1.9,51.5,61.5
2004-03-12 04:00:00,0.7,1.1,21.0,32.0
2004-03-12 05:00:00,0.6,1.0,30.0,44.0
2004-03-12 06:00:00,0.8,1.8,56.0,71.0
2004-03-12 07:00:00,1.4,4.4,109.0,104.0
2004-03-12 08:00:00,4.4,17.9,307.0,141.0
2004-03-12 09:00:00,3.75,22.1,247.0,131.5
2004-03-12 10:00:00,3.1,14.0,187.0,122.0
2004-03-12 11:00:00,2.7,11.6,216.0,143.0
2004-03-12 12:00:00,2.1,10.2,143.0,113.0
2004-03-12 13:00:00,2.5,11.0,160.0,116.0
2004-03-12 14:00:00,2.7,12.8,163.0,123.0
2004-03-12 15:00:00,2.9,14.2,190.0,126.0
2004-03-12 16:00:00,2.8,12.7,178.0,120.0
2004-03-12 17:00:00,2.4,11.7,150.0,119.0
2004-03-12 18:00:00,3.9,19.3,206.0,149.0
2004-03-12 19:00:00,3.7,18.2,202.0,145.0
2004-03-12 20:00:00,5.6,28.5,340.0,170.0
2004-03-12 21:00:00,4.4,20.1,274.0,149.0
2004-03-12 22:00:00,3.5,14.3,253.0,139.0
2004-03-12 23:00:00,5.4,21.8,300.0,134.0
2004-03-13 00:00:00,2.7,9.6,193.0,113.0
2004-03-13 01:00:00,1.9,7.4,139.0,97.0
2004-03-13 02:00:00,1.6,5.4,83.0,82.0
2004-03-13 03:00:00,1.7,5.4,96.0,82.5
2004-03-13 04:00:00,1.35,6.2,109.0,83.0
2004-03-13 05:00:00,1.0,2.6,62.0,65.0
2004-03-13 06:00:00,1.2,2.9,53.0,60.0
2004-03-13 07:00:00,1.5,5.1,139.0,77.0
2004-03-13 08:00:00,2.7,11.8,256.0,96.0
2004-03-13 09:00:00,3.7,15.1,295.0,119.0
2004-03-13 10:00:00,3.2,12.9,250.0,126.0
2004-03-13 11:00:00,4.1,16.1,296.0,158.0
2004-03-13 12:00:00,3.6,14.0,239.0,161.0
2004-03-13 13:00:00,2.8,12.3,153.0,124.0
2004-03-13 14:00:00,2.0,8.6,118.0,102.0
2004-03-13 15:00:00,2.0,9.2,119.0,116.0
2004-03-13 16:00:00,2.5,10.2,138.0,124.0
2004-03-13 17:00:00,2.3,10.6,148.0,125.0
2004-03-13 18:00:00,3.2,15.5,227.0,148.0
2004-03-13 19:00:00,4.2,19.6,277.0,165.0
2004-03-13 20:00:00,4.2,19.2,279.0,161.0
2004-03-13 21:00:00,4.2,18.3,283.0,159.0
2004-03-13 22:00:00,3.1,13.1,214.0,143.0
2004-03-13 23:00:00,2.6,10.9,172.0,130.0
2004-03-14 00:00:00,2.9,11.0,190.0,129.0
2004-03-14 01:00:00,2.8,11.9,174.0,119.0
2004-03-14 02:00:00,2.5,8.6,128.0,104.0
2004-03-14 03:00:00,2.4,9.7,99.0,93.0
2004-03-14 04:00:00,1.7999999999999998,5.2,70.0,82.0
2004-03-14 05:00:00,1.2,3.7,53.0,70.0
2004-03-14 06:00:00,1.0,2.5,44.0,63.0
2004-03-14 07:00:00,0.9,2.4,74.0,67.0
2004-03-14 08:00:00,1.4,4.2,101.0,84.0
2004-03-14 09:00:00,1.6,6.4,118.0,83.0
2004-03-14 10:00:00,2.2,8.6,144.0,98.0
2004-03-14 11:00:00,2.8,10.9,176.0,114.0
2004-03-14 12:00:00,2.8,10.7,161.0,119.0
2004-03-14 13:00:00,2.0,7.5,113.0,104.0
2004-03-14 14:00:00,1.8,7.5,103.0,102.0
2004-03-14 15:00:00,1.9,8.2,112.0,107.0
2004-03-14 16:00:00,3.0,11.9,170.0,129.0
2004-03-14 17:00:00,2.9,12.0,180.0,128.0
2004-03-14 18:00:00,2.5,12.2,160.0,121.0
2004-03-14 19:00:00,4.6,20.6,261.0,157.0
2004-03-14 20:00:00,5.6,23.1,325.0,173.0
2004-03-14 21:00:00,3.4,14.7,217.0,146.0
2004-03-14 22:00:00,2.1,9.0,146.0,121.0
2004-03-14 23:00:00,2.2,8.8,152.0,119.0
2004-03-15 00:00:00,1.8,7.4,104.0,99.0
2004-03-15 01:00:00,1.8,6.9,106.0,93.0
2004-03-15 02:00:00,1.8,7.0,108.0,88.0
2004-03-15 03:00:00,1.1,4.4,87.0,79.5
2004-03-15 04:00:00,1.05,4.0,66.0,71.0
2004-03-15 05:00:00,1.0,3.9,88.0,74.0
2004-03-15 06:00:00,1.4,6.4,138.0,80.0
2004-03-15 07:00:00,2.2,9.7,228.0,89.0
2004-03-15 08:00:00,5.5,25.9,360.0,114.0
2004-03-15 09:00:00,5.6,28.5,478.0,149.0
2004-03-15 10:00:00,5.6,26.6,394.0,157.0
2004-03-15 11:00:00,4.2,20.1,319.0,155.0
2004-03-15 12:00:00,3.1,14.1,201.0,134.0
2004-03-15 13:00:00,2.9,14.9,171.0,119.0
2004-03-15 14:00:00,2.9,15.4,159.0,111.0
2004-03-15 15:00:00,2.5,12.1,153.0,104.0
2004-03-15 16:00:00,2.3,11.5,143.0,99.0
2004-03-15 17:00:00,2.8,14.8,156.0,110.0
2004-03-15 18:00:00,5.6,28.5,314.0,162.0
2004-03-15 19:00:00,5.6,28.5,404.0,187.0
2004-03-15 20:00:00,5.6,28.5,320.0,165.0
2004-03-15 21:00:00,4.2,19.9,256.0,145.0
2004-03-15 22:00:00,3.2,15.3,193.0,125.0
2004-03-15 23:00:00,1.4,6.9,89.0,101.0
2004-03-16 00:00:00,2.1,11.1,127.0,103.0
2004-03-16 01:00:00,1.2,5.4,79.0,88.0
2004-03-16 02:00:00,0.8,2.8,43.0,61.0
2004-03-16 03:00:00,0.7,2.3,51.0,60.0
2004-03-16 04:00:00,0.6499999999999999,2.6,59.0,59.0
2004-03-16 05:00:00,0.6,2.0,38.0,52.0
2004-03-16 06:00:00,0.9,3.5,82.0,64.0
2004-03-16 07:00:00,1.3,5.1,99.0,70.0
2004-03-16 08:00:00,3.4,16.2,263.0,97.0
2004-03-16 09:00:00,3.7,19.7,229.0,95.0
2004-03-16 10:00:00,5.3,25.1,396.0,150.0
2004-03-16 11:00:00,4.1,20.0,314.0,162.0
2004-03-16 12:00:00,3.3,18.3,217.0,154.0
2004-03-16 13:00:00,4.0,22.3,252.0,161.0
2004-03-16 14:00:00,3.8,20.4,263.0,161.0
2004-03-16 15:00:00,2.8,14.6,180.0,128.0
2004-03-16 16:00:00,2.9,16.6,184.0,129.0
2004-03-16 17:00:00,2.9,15.8,190.0,133.0
2004-03-16 18:00:00,3.4,17.8,184.0,139.0
2004-03-16 19:00:00,3.9,19.1,181.0,137.0
2004-03-16 20:00:00,3.2,15.8,166.0,143.0
2004-03-16 21:00:00,5.1,24.9,317.0,177.0
2004-03-16 22:00:00,2.6,13.5,184.0,138.0
2004-03-16 23:00:00,1.7,9.1,130.0,117.0
2004-03-17 00:00:00,1.7,8.6,132.0,107.0
2004-03-17 01:00:00,1.2,5.4,95.0,90.0
2004-03-17 02:00:00,0.9,4.1,70.0,79.0
2004-03-17 03:00:00,0.7,2.6,62.0,69.5
2004-03-17 04:00:00,0.6,1.9,54.0,60.0
2004-03-17 05:00:00,0.5,1.6,28.0,40.0
2004-03-17 06:00:00,0.5,1.9,46.0,53.0
2004-03-17 07:00:00,1.6,7.5,160.0,84.0
2004-03-17 08:00:00,4.1,21.4,320.0,108.0
2004-03-17 09:00:00,5.6,28.5,377.0,127.0
2004-03-17 10:00:00,4.3,21.3,280.0,134.0
2004-03-17 11:00:00,2.9,15.4,221.0,135.0
2004-03-17 12:00:00,2.5,12.5,210.0,142.0
2004-03-17 13:00:00,2.8,15.1,204.0,153.0
2004-03-17 14:00:00,2.6,13.7,161.0,123.0
2004-03-17 15:00:00,2.0,10.4,135.0,104.0
2004-03-17 16:00:00,2.9,15.2,186.0,129.0
2004-03-17 17:00:00,2.5,12.3,147.0,114.0
2004-03-17 18:00:00,5.0,27.0,299.0,158.0
2004-03-17 19:00:00,5.6,28.5,411.0,194.0
2004-03-17 20:00:00,5.6,28.5,347.0,182.0
2004-03-17 21:00:00,5.6,27.2,336.0,180.0
2004-03-17 22:00:00,2.8,15.0,202.0,136.0
2004-03-17 23:00:00,2.6,15.7,178.0,127.0
2004-03-18 00:00:00,2.3,13.0,154.0,116.0
2004-03-18 01:00:00,1.4,8.1,92.0,107.0
2004-03-18 02:00:00,1.0,5.5,61.0,88.0
2004-03-18 03:00:00,0.7,3.6,60.5,83.0
2004-03-18 04:00:00,0.6499999999999999,2.9,60.0,78.0
2004-03-18 05:00:00,0.6,2.5,37.0,57.0
2004-03-18 06:00:00,0.7,3.0,68.0,71.0
2004-03-18 07:00:00,1.5,7.7,139.0,85.0
2004-03-18 08:00:00,4.7,23.3,339.0,124.0
2004-03-18 09:00:00,5.6,28.5,421.0,151.0
2004-03-18 10:00:00,4.5,21.3,349.0,150.0
2004-03-18 11:00:00,2.8,14.3,224.0,152.0
2004-03-18 12:00:00,2.2,12.5,171.0,139.0
2004-03-18 13:00:00,2.2,12.2,149.0,133.0
2004-03-18 14:00:00,2.3,13.1,137.0,126.0
2004-03-18 15:00:00,2.2,14.4,149.0,128.0
2004-03-18 16:00:00,2.8,16.8,172.0,169.0
2004-03-18 17:00:00,2.7,14.5,166.0,149.0
2004-03-18 18:00:00,3.7,21.5,214.0,156.0
2004-03-18 19:00:00,5.1,26.4,280.0,168.0
2004-03-18 20:00:00,5.1,26.0,276.0,176.0
2004-03-18 21:00:00,3.2,14.1,178.0,135.0
2004-03-18 22:00:00,2.1,10.3,129.0,121.0
2004-03-18 23:00:00,1.7,8.3,95.0,99.0
2004-03-19 00:00:00,2.0,8.9,126.0,106.0
2004-03-19 01:00:00,1.6,6.6,103.0,96.0
2004-03-19 02:00:00,0.9,3.6,48.0,63.0
2004-03-19 03:00:00,0.7,2.5,34.0,47.5
2004-03-19 04:00:00,0.6,1.8,20.0,32.0
2004-03-19 05:00:00,0.5,1.3,18.0,28.0
2004-03-19 06:00:00,0.7,2.3,56.0,61.0
2004-03-19 07:00:00,1.5,6.7,115.0,99.0
2004-03-19 08:00:00,4.8,22.8,320.0,157.0
2004-03-19 09:00:00,5.6,28.5,357.0,166.0
2004-03-19 10:00:00,4.0,19.2,253.0,149.0
2004-03-19 11:00:00,3.3,16.4,218.0,135.0
2004-03-19 12:00:00,2.8,14.0,192.0,127.0
2004-03-19 13:00:00,3.0,15.3,176.0,122.0
2004-03-19 14:00:00,3.3,16.7,198.0,135.0
2004-03-19 15:00:00,3.5,19.0,212.0,139.0
2004-03-19 16:00:00,4.0,19.4,249.0,147.0
2004-03-19 17:00:00,4.6,20.9,270.0,158.0
2004-03-19 18:00:00,4.1,20.2,231.0,146.0
2004-03-19 19:00:00,4.5,21.7,251.0,144.0
2004-03-19 20:00:00,3.9,19.8,210.0,138.0
2004-03-19 21:00:00,4.0,16.7,249.0,143.0
2004-03-19 22:00:00,2.2,9.1,143.0,116.0
2004-03-19 23:00:00,2.1,8.3,127.0,109.0
2004-03-20 00:00:00,1.7,5.8,104.0,92.0
2004-03-20 01:00:00,1.6,5.2,86.0,83.0
2004-03-20 02:00:00,1.3,4.1,74.0,81.0
2004-03-20 03:00:00,1.3,3.4,59.0,68.0
2004-03-20 04:00:00,1.05,2.9,44.0,55.0
2004-03-20 05:00:00,0.8,3.1,42.0,53.0
2004-03-20 06:00:00,0.8,2.5,63.0,67.0
2004-03-20 07:00:00,1.1,4.3,115.0,91.0
2004-03-20 08:00:00,2.1,8.9,170.0,113.0
2004-03-20 09:00:00,2.4,10.5,147.0,102.0
2004-03-20 10:00:00,2.6,12.5,166.0,107.0
2004-03-20 11:00:00,2.8,12.3,195.0,113.0
2004-03-20 12:00:00,2.6,11.7,182.0,108.0
2004-03-20 13:00:00,2.6,11.7,168.0,105.0
2004-03-20 14:00:00,2.1,9.3,125.0,93.0
2004-03-20 15:00:00,1.7,7.6,95.0,87.0
2004-03-20 16:00:00,1.6,6.7,79.0,76.0
2004-03-20 17:00:00,2.1,9.7,119.0,94.0
2004-03-20 18:00:00,2.3,12.4,142.0,110.0
2004-03-20 19:00:00,3.5,16.6,215.0,136.0
